,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Luftemissionsart NH3,27,28,24,25,22,21,23,21,18,17,15,16,14,12,11,11,10,14,14,12,11,11
Luftemissionsart Feinst10,148,135,127,119,116,109,111,107,98,97,93,96,87,76,71,71,68,68,66,60,65,63
Luftemissionsart HFC,17,19,20,16,16,23,21,17,23,25,23,34,27,20,15,18,19,20,20,23,23,24
Luftemissionsart PFC,267,293,338,339,377,431,322,329,345,337,313,312,239,185,136,149,159,143,139,143,141,158
Luftemissionsart SF6,2,2,2,2,2,54,42,54,75,96,91,51,66,90,50,69,31,25,19,37,20,26
Luftemissionsart CO2,1392477,1165864,954895,1018283,904842,820275,817524,968339,1019741,811875,770780,826830,851052,824893,695873,815728,763618,725075,708920,743487,625981,758768
Luftemissionsart CH4,124,93,81,60,51,46,37,40,34,32,32,26,41,41,39,47,45,40,41,43,32,44
Luftemissionsart N2O,25,19,18,18,16,15,15,16,16,13,13,17,17,15,15,17,18,16,15,17,16,18
Luftemissionsart NOX,3220,2901,2705,2743,2699,2574,2526,2506,2440,2241,2115,2124,2082,1866,1700,1778,1685,1605,1478,1557,1361,1404
Luftemissionsart SO2,1586,852,888,849,667,608,747,750,501,435,406,1167,650,303,215,207,190,193,115,142,54,38
Luftemissionsart NMVOC,320,267,249,207,189,170,161,161,143,129,120,128,114,93,82,86,76,95,83,75,63,63
Luftemissionsart NH3,25,25,21,21,19,18,18,22,24,16,15,14,14,13,12,14,11,15,14,11,10,10
Luftemissionsart Feinst10,172,135,131,115,112,104,105,104,92,90,86,94,84,70,64,64,62,67,58,61,58,57
Luftemissionsart HFC,0,0,0,0,0,4,4,5,5,6,6,7,6,6,5,6,6,6,6,7,7,7
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,44,46,49,50,45,823,783,717,564,525,489,456,578,458,383,427,502,403,482,569,555,499
Luftemissionsart CO2,4078123,4188322,3687876,3479840,3291165,3121994,3247678,3026694,3291026,3127700,3166536,3296855,3325387,3152136,2833544,3043947,2839176,2936640,2904409,2657063,2590192,2399754
Luftemissionsart CH4,307,295,277,217,204,194,192,177,190,196,220,224,228,202,189,206,186,189,192,173,169,148
Luftemissionsart N2O,66,66,61,55,53,50,52,46,50,48,49,50,53,52,51,56,55,53,54,53,53,51
Luftemissionsart NOX,8259,8141,7664,7390,7392,7100,7142,6706,6756,6452,6373,6249,6047,5487,5016,5165,4894,4781,4627,4503,4189,3911
Luftemissionsart SO2,3402,2871,2305,1772,1478,1287,1309,948,819,690,679,613,671,598,537,583,487,462,420,362,157,151
Luftemissionsart NMVOC,717,666,618,511,479,438,422,384,369,345,334,323,313,278,251,257,245,290,273,235,208,191
Luftemissionsart NH3,71,79,66,64,60,58,60,54,54,47,47,48,48,48,46,47,43,51,48,37,30,30
Luftemissionsart Feinst10,354,324,305,264,257,241,242,224,213,208,206,195,191,174,161,163,164,172,163,166,159,153
Luftemissionsart HFC,0,0,0,0,0,62,68,68,68,70,72,77,79,85,83,92,96,87,86,86,87,83
Luftemissionsart PFC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,4003154,4224601,4089217,4126309,4029561,3850780,3921830,3868665,3993971,4194122,3971671,3911535,3881291,3637938,3345066,3730511,3661054,3711771,3761647,3469395,3691032,3521004
Luftemissionsart CH4,191,205,202,192,185,173,176,173,189,211,231,210,207,195,175,197,193,184,197,180,195,166
Luftemissionsart N2O,66,71,64,61,61,60,60,57,59,62,61,60,64,64,62,71,72,77,80,76,82,87
Luftemissionsart NOX,11872,11721,11370,11234,11495,11156,11152,10704,10429,10220,9795,9436,9009,8081,7312,7514,6929,6451,6263,5158,4363,4303
Luftemissionsart SO2,2356,1696,1145,912,848,801,735,618,796,827,704,741,807,527,428,387,392,341,221,74,94,376
Luftemissionsart NMVOC,373006,374021,386822,399640,357118,314575,291885,311362,298578,343595,305349,319085,286667,267328,216598,245956,236069,245320,223492,186396,199914,207804
Luftemissionsart NH3,41,48,43,45,44,48,46,45,44,43,40,40,38,36,32,33,32,44,43,79,86,93
Luftemissionsart Feinst10,539,482,429,397,398,381,381,365,352,355,345,325,308,274,251,252,245,247,228,230,236,241
Luftemissionsart HFC,0,0,0,0,0,9,10,11,13,14,15,17,16,16,21,23,23,26,25,28,30,30
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,876736,908469,811885,671077,663026,649485,663754,661247,637497,618817,601044,722176,531793,468043,556552,720870,606394,638925,697410,563670,570330,530709
Luftemissionsart CH4,51,56,50,41,39,38,37,38,38,41,44,45,33,29,33,41,34,35,40,35,36,32
Luftemissionsart N2O,18,17,15,13,12,12,12,12,11,11,11,13,10,10,11,14,13,14,16,11,12,11
Luftemissionsart NOX,2571,2519,2371,2217,2261,2195,2180,2108,1999,1930,1842,1869,1630,1434,1371,1483,1318,1204,1246,730,613,588
Luftemissionsart SO2,881,467,291,144,116,92,91,76,47,43,39,147,34,19,17,80,18,18,20,16,10,13
Luftemissionsart NMVOC,185,177,160,142,134,123,119,112,103,99,91,100,78,65,59,68,54,57,58,58,56,53
Luftemissionsart NH3,12,13,13,10,10,10,10,10,9,9,8,13,8,6,6,10,6,8,8,10,11,12
Luftemissionsart Feinst10,124,114,84,77,77,74,74,71,67,67,64,65,58,53,49,51,47,44,45,29,29,28
Luftemissionsart HFC,0,0,0,0,0,1,1,1,2,2,2,2,2,2,4,4,4,5,5,3,4,4
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,1163974,1110127,1068100,1019277,1007946,1041543,1263604,1133589,1346219,1333940,1253643,1223553,1409466,1736032,1345147,1420740,1433707,1502930,1467331,1342807,1519946,1297256
Luftemissionsart CH4,392,359,364,306,289,277,281,261,258,249,232,231,246,276,240,242,248,249,241,224,234,206
Luftemissionsart N2O,17,16,16,14,13,13,15,13,18,20,18,18,26,31,22,23,24,26,26,25,27,24
Luftemissionsart NOX,1849,1782,1741,1691,1712,1707,1834,1708,2020,2082,1933,1883,2135,2328,1800,1798,1789,1878,1793,1974,2036,1793
Luftemissionsart SO2,966,776,736,554,500,369,502,358,328,274,261,207,295,369,187,194,160,153,147,110,90,105
Luftemissionsart NMVOC,794,728,720,617,577,537,503,459,488,493,432,422,512,539,416,398,411,439,423,408,398,365
Luftemissionsart NH3,19,19,18,16,16,16,22,18,19,18,17,15,19,25,16,17,17,18,17,18,17,16
Luftemissionsart Feinst10,307,291,298,274,272,264,264,255,305,334,304,295,347,347,274,258,259,267,254,255,246,230
Luftemissionsart HFC,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,3,3,6,6,6
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,170220,156611,153556,166317,180630,175931,193211,161966,161421,163690,160179,176989,165983,361924,340890,367662,363903,371857,367925,457174,442101,283385
Luftemissionsart CH4,3,3,3,3,2,2,3,2,2,2,2,3,2,18,19,21,19,22,22,22,21,7
Luftemissionsart N2O,4,4,4,4,4,4,4,3,3,3,3,3,4,7,7,8,9,8,8,10,10,8
Luftemissionsart NOX,1144,1103,1083,1082,1121,1093,1087,1035,983,955,902,885,828,914,859,879,846,799,771,936,831,688
Luftemissionsart SO2,73,36,25,23,23,20,18,3,3,4,4,12,9,39,43,38,230,59,54,33,45,57
Luftemissionsart NMVOC,93,87,81,75,71,65,62,58,54,51,47,46,41,44,40,40,39,47,44,53,45,38
Luftemissionsart NH3,2,3,3,4,4,4,4,4,4,4,4,4,4,6,6,5,6,7,7,8,8,7
Luftemissionsart Feinst10,50,48,47,46,46,44,45,43,41,41,39,38,36,34,32,32,34,32,31,39,36,34
Luftemissionsart HFC,0,0,0,0,0,1,2,2,2,2,3,3,3,3,3,3,3,3,3,5,5,5
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,374750186,376732646,362220554,366875006,356397524,365603646,375623024,379122434,398987263,397621700,397466171,409497245,428442047,412127253,387242270,411233009,408923002,407645780,414004675,399992439,394437264,389858479
Luftemissionsart CH4,217952,210761,198525,191908,177278,122659,113862,102506,112765,108038,108529,112173,115705,117035,117839,125750,131198,141469,150770,154248,163074,172892
Luftemissionsart N2O,8827,8573,8282,8234,7985,8255,8461,8520,9029,9233,9045,9323,9683,9431,9013,9439,9532,9596,9418,9116,8918,8816
Luftemissionsart NOX,329885,318028,296981,291015,274103,272028,275967,275376,303596,288941,289605,301522,316454,308761,298489,320824,318815,311819,313980,304238,298183,297553
Luftemissionsart SO2,1170444,960022,762080,574190,431139,308942,291629,266084,254503,229509,217857,218955,225583,210725,199790,206999,207015,209503,208716,204304,198447,190027
Luftemissionsart NMVOC,10590,10557,9947,10054,9566,12148,11867,11353,13259,13609,13665,14670,15664,15578,14854,15182,15433,13951,13868,13522,13200,13076
Luftemissionsart NH3,5203,4979,4801,4681,4386,2351,2378,2315,2417,2366,2352,2358,2409,2290,2256,2373,2298,2283,2252,2246,2206,2170
Luftemissionsart Feinst10,20172,18059,15800,14541,12919,12150,12129,11599,12427,12654,12104,12235,12646,12015,11405,11592,11650,10970,11166,10968,10790,10457
Luftemissionsart HFC,0,0,0,0,0,2,3,3,4,5,5,6,6,7,9,11,10,21,20,22,26,27
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,167,173,176,199,231,195,194,182,174,168,161,155,148,144,144,148,143
Luftemissionsart CO2,28500,29290,31766,35128,36975,36614,36148,40202,43533,42329,41802,41129,39205,41123,86265,84282,78287,75065,77283,82038,87812,90663
Luftemissionsart CH4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1
Luftemissionsart N2O,3,3,3,3,3,4,4,3,3,3,3,4,4,5,5,6,6,4,5,5,6,6
Luftemissionsart NOX,1346,1306,1293,1306,1374,1355,1355,1297,1233,1204,1143,1120,1055,942,870,810,719,502,499,464,443,408
Luftemissionsart SO2,82,39,27,25,24,22,19,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Luftemissionsart NMVOC,89,85,80,77,75,70,68,64,60,57,53,50,45,37,33,28,23,19,18,16,15,14
Luftemissionsart NH3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Luftemissionsart Feinst10,61,59,57,54,55,53,53,50,47,47,45,43,40,35,32,28,24,22,22,22,21,21
Luftemissionsart HFC,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,7249772,7522026,7627325,7939971,8015177,8327163,8516556,7898159,6114004,7106468,7094008,7687826,7612156,7376322,8049484,7079875,7124403,6643593,6796131,6616190,6656802,6721022
Luftemissionsart CH4,1496234,1439486,1326314,1242544,1178604,1113633,1048323,991326,927962,871852,812972,749508,696073,646310,597260,552587,520420,489716,458547,434369,410032,386589
Luftemissionsart N2O,2388,2503,2338,2458,2549,3300,3197,3326,3200,3203,3219,2980,3052,3059,3146,3110,3217,3154,3154,3221,3249,3270
Luftemissionsart NOX,65184,63740,63635,64782,68807,68574,68977,66444,61898,60920,58086,57484,54079,48210,45889,40563,37871,34350,31891,28910,27192,25047
Luftemissionsart SO2,5067,2700,2008,1897,1870,1757,1725,847,275,377,346,1139,565,477,3444,619,975,394,1333,1000,297,316
Luftemissionsart NMVOC,4636,4459,4250,4076,4024,3801,3707,3514,3074,2961,2766,2640,2357,1921,1774,1421,1239,1318,1180,1057,950,886
Luftemissionsart NH3,1202,1516,1668,1808,2066,2336,2346,2739,2737,2773,2742,2781,2947,2896,2971,2919,3207,3324,3319,3515,3524,3524
Luftemissionsart Feinst10,2845,2715,2612,2498,2532,2425,2436,2300,2090,2097,2002,1903,1745,1502,1476,1170,1055,1462,1416,1344,1287,1255
Luftemissionsart HFC,2865,3655,4401,5115,5442,255,256,292,354,441,579,630,630,566,717,582,658,870,918,1012,1110,1191
Luftemissionsart PFC,20,43,69,91,106,0,0,0,5,14,35,60,69,58,41,25,16,4,4,3,3,3
Luftemissionsart SF6,126,133,139,144,87,1269,945,606,682,786,917,1069,1228,1376,1613,1749,1869,2003,2073,2129,2355,2656
Luftemissionsart CO2,6189978,6509349,5983883,5628766,5554452,5394954,5338265,5052940,4873926,4741992,4455157,4729029,4181807,4305560,3478984,3486336,3521187,3522399,3706865,3796464,4147862,4304243
Luftemissionsart CH4,595,546,542,386,375,363,335,304,256,245,250,260,244,246,182,164,169,140,139,138,162,165
Luftemissionsart N2O,140,141,139,132,135,128,124,111,107,104,98,102,100,105,107,108,116,98,106,114,121,126
Luftemissionsart NOX,39188,37421,36978,36216,37335,35149,33242,30990,28925,27330,24864,24378,22376,20946,20022,18620,18583,15305,15132,15228,14860,14256
Luftemissionsart SO2,4375,3467,2602,1907,1650,1502,1409,912,871,717,592,727,470,424,189,129,46,50,32,30,26,26
Luftemissionsart NMVOC,6374,5948,5846,5481,5569,5004,4821,4494,4147,3904,3591,3535,3194,3280,2694,2498,2379,1657,1605,1619,2396,2470
Luftemissionsart NH3,73,88,74,69,62,63,64,59,60,62,57,60,46,45,40,41,37,43,44,45,43,44
Luftemissionsart Feinst10,18451,16775,18801,19893,20160,19429,14490,18008,14311,13752,13557,13598,10431,12434,12523,10930,10194,10288,12931,11882,10414,9716
Luftemissionsart HFC,0,0,0,0,0,18,22,25,26,27,28,32,30,32,21,22,25,28,30,35,39,40
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,6018302,6256988,5879964,5942280,5824290,5527094,5683926,5368227,4993128,4855751,4601093,4899074,4336725,4509240,5220873,5334721,5569826,5468702,5727918,5747666,6343555,6590331
Luftemissionsart CH4,587,545,541,433,431,397,381,374,291,276,298,294,281,294,327,275,307,258,274,304,307,311
Luftemissionsart N2O,192,193,192,188,192,182,178,158,150,146,139,143,145,155,166,171,189,141,150,159,173,180
Luftemissionsart NOX,56290,53828,53088,52394,53997,51192,49153,46180,43192,40708,37457,36601,33764,31036,29499,28055,28381,20694,20046,19898,19847,19047
Luftemissionsart SO2,5085,3659,2767,2301,2070,1785,1732,1151,967,802,712,823,541,559,516,251,92,105,60,55,46,45
Luftemissionsart NMVOC,7468,6984,6810,6429,6495,5853,5645,5283,4862,4543,4185,4091,3689,3692,3070,2844,2716,1879,1793,1781,2553,2616
Luftemissionsart NH3,82,97,88,91,87,87,91,87,85,83,79,83,66,65,67,72,71,73,75,69,68,68
Luftemissionsart Feinst10,4651,4294,4178,3947,3978,3670,3432,3157,2897,2702,2467,2371,2196,2042,1950,1900,1912,1222,1163,1157,1135,1085
Luftemissionsart HFC,0,0,0,0,0,19,22,25,26,28,29,32,32,34,45,48,54,55,57,63,74,75
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,2772891,3413202,3109012,3270754,3166529,2903862,3229043,2639002,2220253,2104663,2009007,2267691,1989266,2234829,2305274,2357365,1796831,1808638,1925819,2321145,1901760,1996487
Luftemissionsart CH4,655,569,615,452,452,426,422,351,254,249,254,300,299,280,247,269,291,259,273,304,274,284
Luftemissionsart N2O,49,54,53,50,50,49,51,43,37,37,37,40,43,48,49,56,37,29,30,35,32,34
Luftemissionsart NOX,12075,12105,11758,11829,12184,11824,11948,11093,10321,10018,9496,9394,8749,8003,7364,7224,4123,2576,2540,3390,2386,2323
Luftemissionsart SO2,3115,3011,2554,2117,1850,1600,1692,1039,673,583,557,633,503,549,332,299,128,102,46,84,107,112
Luftemissionsart NMVOC,1542,1348,1331,1004,939,851,806,724,617,579,540,527,471,402,355,340,229,139,133,149,124,119
Luftemissionsart NH3,71,95,87,94,89,88,93,76,66,63,60,61,53,60,56,53,46,34,35,34,32,32
Luftemissionsart Feinst10,710,648,635,528,521,484,484,447,406,403,386,370,347,310,281,277,200,114,106,146,106,104
Luftemissionsart HFC,0,0,0,0,0,8,10,11,12,13,13,16,14,15,19,20,12,12,12,23,15,15
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,8308858,8749889,8275967,8381912,8423517,8093636,8472526,7662528,6929559,7101911,7104394,7444231,6469054,6581416,6283302,6712574,6814139,6713555,6914305,7379368,7038465,7286886
Luftemissionsart CH4,1479,1354,1375,1027,970,925,917,808,517,533,546,586,377,328,273,307,362,284,316,378,402,413
Luftemissionsart N2O,141,148,150,148,157,165,171,164,158,168,170,184,208,243,266,316,358,319,342,370,394,414
Luftemissionsart NOX,48517,47629,47169,47803,50481,50018,50429,48170,45665,44715,42654,42012,39167,35238,32486,32922,32671,33949,31336,30341,27053,24575
Luftemissionsart SO2,7258,5106,4127,3086,2711,2438,2400,1296,919,813,802,813,474,539,280,367,415,150,77,136,241,238
Luftemissionsart NMVOC,61536,55580,51126,46366,41523,41451,39538,37660,33464,30925,27327,26115,23813,23059,22050,20794,19681,18581,18051,17633,17707,18067
Luftemissionsart NH3,117,137,131,137,132,136,140,130,126,123,119,117,95,100,93,94,92,127,128,110,107,109
Luftemissionsart Feinst10,2319,2139,2057,1802,1799,1697,1697,1587,1459,1456,1389,1304,1202,1043,929,904,863,1584,1488,1513,1407,1370
Luftemissionsart HFC,0,0,0,0,0,417,462,505,547,589,616,643,675,716,759,787,808,793,765,743,689,633
Luftemissionsart PFC,0,0,0,0,0,28,29,29,28,27,24,20,14,9,6,4,2,2,2,1,1,1
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,13426072,14502513,13061273,12832459,12389154,11934663,12938478,12746635,11988757,11345669,10565169,11040232,9892583,10578837,9237037,10337380,9862747,9690815,10061424,10003334,9388955,9752765
Luftemissionsart CH4,4052,3336,3496,2148,2107,2016,1946,2077,1603,1533,1401,1515,1540,1361,1196,1338,1415,1162,1198,1337,1287,1295
Luftemissionsart N2O,181,179,178,145,142,137,141,130,114,106,103,106,97,102,91,112,115,117,119,129,126,129
Luftemissionsart NOX,24183,24031,22628,21798,21596,20449,20516,19580,18291,17557,16378,16118,14621,13847,12564,12873,12560,14046,14008,15501,13486,13323
Luftemissionsart SO2,13342,11368,10101,6383,5516,4994,5111,4660,3880,3036,2945,2952,1998,2306,1150,1347,807,357,157,331,399,351
Luftemissionsart NMVOC,6429,5080,5158,2975,2685,2388,2120,2079,1609,1441,1358,1337,1173,1049,928,949,919,1265,1211,984,868,831
Luftemissionsart NH3,277,326,299,307,290,296,307,293,292,269,253,248,203,230,206,216,202,269,264,194,185,185
Luftemissionsart Feinst10,2307,1855,1850,1160,1110,994,971,950,835,800,773,755,702,655,593,618,614,699,653,687,586,562
Luftemissionsart HFC,0,0,0,0,0,387,429,477,527,577,619,670,725,786,833,876,917,929,927,932,895,861
Luftemissionsart PFC,0,0,0,0,0,22,23,23,23,22,19,16,11,7,5,3,2,2,1,1,1,1
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,11662823,11790977,11831002,12271582,13644035,12867906,14685139,15972548,16026443,16089076,15886868,16579957,16955829,16515621,17428294,17817320,18439587,18201888,18322002,16540675,16961144,17167110
Luftemissionsart CH4,91175,92779,92790,95066,96663,99090,100940,102142,103346,104636,106183,107912,109274,110160,111789,112863,115395,117090,118257,117905,116168,116355
Luftemissionsart N2O,246,257,255,259,274,251,293,295,295,327,329,357,404,472,517,584,655,1065,1125,1006,1077,1114
Luftemissionsart NOX,120405,117597,115209,115220,118549,114884,116720,111308,106815,103933,97252,94709,89264,81905,75054,73978,73754,113092,106275,85779,79140,69057
Luftemissionsart SO2,8687,4991,2964,2726,2672,2323,2072,482,255,252,259,258,246,280,282,276,295,347,344,326,329,332
Luftemissionsart NMVOC,13199,12807,12625,12421,12119,13286,12866,12380,12139,11944,12101,12106,11477,11277,10636,10188,10010,11605,11065,10427,10413,10216
Luftemissionsart NH3,61,68,67,67,69,67,71,70,69,70,69,69,68,68,66,66,68,124,121,125,125,126
Luftemissionsart Feinst10,4537,5018,45122,43958,46579,48670,46691,44346,41912,41206,39258,40332,40095,40029,36534,46009,49826,50718,50813,51812,51959,41985
Luftemissionsart HFC,0,0,0,0,0,285,329,372,405,438,476,528,560,587,628,656,697,718,730,711,734,726
Luftemissionsart PFC,0,0,0,0,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,14511871,13212016,14215764,13950161,14393902,5828020,13578900,15635118,14671288,25166722,22740542,23108656,31355228,31926202,25203566,27407950,23456514,26958824,26792100,25753282,27796741,28835490
Luftemissionsart CH4,201,182,189,183,185,59,131,149,139,235,214,218,291,291,242,264,228,257,259,249,227,274
Luftemissionsart N2O,552,501,553,547,571,628,554,653,608,1064,950,963,1328,1340,1099,1186,1008,1163,1156,1112,1177,1183
Luftemissionsart NOX,229451,207322,222937,218691,225582,87437,220646,257802,241187,423448,380215,380551,525816,529645,435477,467113,397761,459087,458804,435650,457710,434960
Luftemissionsart SO2,207837,184345,202311,201531,211549,66626,193332,230149,215208,394940,350547,192307,273319,276370,224331,157749,131888,156411,157671,148584,15742,16559
Luftemissionsart NMVOC,25526,22692,24700,24461,25424,2840,6421,7352,6873,11645,10561,10771,14457,14470,12016,13086,11267,12719,12845,12330,11236,13574
Luftemissionsart NH3,62,56,59,58,59,22,55,64,60,104,93,94,130,131,107,116,99,114,113,109,115,116
Luftemissionsart Feinst10,160763,147517,124450,123615,129395,31738,82127,96750,90517,161750,144016,81931,113620,114386,92671,66987,57044,66648,68572,64448,55163,73423
Luftemissionsart HFC,0,0,0,0,0,5,6,7,8,9,12,15,13,19,1,1,1,1,1,2,2,2
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,18699593,19557979,20275392,20842863,22306440,23667293,23020961,22800977,23190933,23852523,27400498,28710472,30225266,30391365,27695008,26289812,25669185,27638912,27745107,26981014,26710762,25735107
Luftemissionsart CH4,96,94,102,99,102,106,101,95,92,87,93,95,95,96,93,93,95,90,81,81,87,87
Luftemissionsart N2O,576,603,626,644,691,714,714,708,718,735,846,888,937,941,883,839,819,884,887,862,854,823
Luftemissionsart NOX,87984,92329,95491,99436,107132,115185,111319,110146,110923,112809,129382,135573,146439,153386,147377,142042,138784,152471,158909,154776,154319,150898
Luftemissionsart SO2,3737,3402,2989,2538,2606,2634,2434,2282,2197,2134,2310,2276,2227,2069,1779,1694,1657,1788,1802,1754,1737,1678
Luftemissionsart NMVOC,4501,4724,4936,4908,4808,4931,4567,4732,4709,4898,4834,4546,4490,4528,4118,3827,3749,3936,4131,4051,3972,3505
Luftemissionsart NH3,971,1021,1056,1087,1169,1241,1207,1198,1221,1261,1456,1532,1617,1625,1526,1454,1425,1537,1549,1508,1494,1443
Luftemissionsart Feinst10,1070,1126,1163,1198,1291,1369,1332,1324,1349,1393,1611,1694,1788,1794,1681,1594,1556,1701,1718,1668,1647,1585
Luftemissionsart HFC,0,0,0,0,0,32,37,41,48,52,63,71,71,76,61,63,65,64,57,59,60,59
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,8284046,8373851,8456277,8690754,9558819,9914942,10308862,9377033,9507586,10026145,9809211,10403261,9907848,9933209,8351297,8948062,8984971,8793180,9411628,9741209,9761595,9908642
Luftemissionsart CH4,219,216,216,198,209,237,258,272,197,205,130,151,157,139,166,189,200,183,211,221,226,229
Luftemissionsart N2O,84,89,92,96,107,117,121,123,124,134,135,146,173,205,229,271,297,511,550,616,665,685
Luftemissionsart NOX,38063,37225,37147,37873,40442,40395,40765,39214,37401,36703,34957,34440,32503,29240,27046,27449,26559,36587,35413,34218,29412,23956
Luftemissionsart SO2,3505,1889,1315,1205,1168,1095,1056,435,367,345,329,293,200,277,169,122,55,79,65,69,68,70
Luftemissionsart NMVOC,2003,1927,1835,1764,1759,1666,1631,1535,1433,1378,1285,1211,1084,899,782,736,654,1000,947,947,887,830
Luftemissionsart NH3,30,33,31,31,32,35,38,39,40,40,39,39,35,39,36,38,37,61,66,70,73,74
Luftemissionsart Feinst10,1488,1414,1352,1288,1306,1246,1252,1174,1091,1091,1039,968,890,765,678,643,575,1659,1678,1782,1702,1631
Luftemissionsart HFC,0,0,0,0,0,654,724,790,858,927,969,1017,1062,1129,1171,1207,1236,1208,1175,1136,1063,971
Luftemissionsart PFC,0,0,0,0,0,44,46,46,45,43,39,31,22,15,9,6,4,3,3,2,2,2
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,3003016,3013115,2955832,3116337,3463305,3582411,3622793,3579861,3536120,3631729,3597472,3785819,3465587,3480472,3411214,3513567,3074162,2964715,3441164,4763125,4366070,4459106
Luftemissionsart CH4,101,92,92,71,72,70,70,68,52,54,51,69,63,66,55,49,51,54,58,84,103,101
Luftemissionsart N2O,38,40,41,43,47,51,52,52,53,57,58,63,74,88,97,112,107,191,211,247,275,286
Luftemissionsart NOX,16459,16082,16024,16307,17379,17311,17435,16745,15973,15664,14947,14731,13898,12483,11523,11346,9538,15974,16089,16044,13800,11846
Luftemissionsart SO2,1624,913,655,560,534,483,452,164,117,107,107,97,69,93,47,35,15,25,23,28,28,29
Luftemissionsart NMVOC,901,856,819,767,763,720,702,657,612,588,550,519,464,386,333,306,233,458,453,461,424,395
Luftemissionsart NH3,15,16,15,15,15,15,16,16,16,16,16,16,14,15,14,14,11,26,30,39,38,39
Luftemissionsart Feinst10,659,623,597,563,570,543,545,511,474,474,452,422,389,336,298,283,207,716,760,856,798,770
Luftemissionsart HFC,0,0,0,0,0,30,36,41,46,51,57,64,58,61,64,69,62,62,73,102,92,91
